sku,product_name,category,supplier,order_multiple
SKU001,Электротовар 1,Категория 1,Поставщик 1,10
SKU002,Электротовар 2,Категория 2,Поставщик 2,1
SKU003,Электротовар 3,Категория 3,Поставщик 3,10
SKU004,Электротовар 4,Категория 1,Поставщик 4,1
SKU005,Электротовар 5,Категория 2,Поставщик 1,10
SKU006,Электротовар 6,Категория 3,Поставщик 2,1
SKU007,Электротовар 7,Категория 1,Поставщик 3,10
SKU008,Электротовар 8,Категория 2,Поставщик 4,1
SKU009,Электротовар 9,Категория 3,Поставщик 1,10
SKU010,Электротовар 10,Категория 1,Поставщик 2,1
SKU011,Электротовар 11,Категория 2,Поставщик 3,10
SKU012,Электротовар 12,Категория 3,Поставщик 4,1
SKU013,Электротовар 13,Категория 1,Поставщик 1,10
SKU014,Электротовар 14,Категория 2,Поставщик 2,1
SKU015,Электротовар 15,Категория 3,Поставщик 3,10
SKU016,Электротовар 16,Категория 1,Поставщик 4,1
SKU017,Электротовар 17,Категория 2,Поставщик 1,10
SKU018,Электротовар 18,Категория 3,Поставщик 2,1
SKU019,Электротовар 19,Категория 1,Поставщик 3,10
SKU020,Электротовар 20,Категория 2,Поставщик 4,1
