supplier,sku,product_name,category,recommended_qty,approved_qty,urgency,days_of_cover,lead_time_days,coverage_days,model_demand,seasonal_factor,trend_factor,planned_growth,demand_for_coverage,safety_stock,stock,stock_as_of,in_transit,net_need,raw_sales_need,lost_demand_adjustment,one_off_orders_removed,min_order_qty,order_multiple,price,order_value,status,reason
Поставщик 1,SKU005,Электротовар 5,Категория 2,230.0,230.0,критично,0.0,7,14,179.7,1.117,0.992,0.0,199.2,26.4,0.0,нет в наличии на последнюю дату,0.0,225.5,198.9,31.2,1.1,0.0,10.0,820.0,188600.0,черновик — требует утверждения,"Покрытие 14 дн. (поставка 7 + пересмотр 7): прогноз модели 180 ед., годовая сезонность ×1.12, устойчивый тренд -3.2%/мес ×0.99 → спрос 199 ед. Страховой запас 26 ед. (ошибка прогноза на валидации). Доступно 0 ед. (остаток 0 + в пути 0). Потребность 226 → заказ 230 ед. (кратность 10, мин. партия 0). Запаса хватит на 0.0 дн. при сроке поставки 7 дн. Учтён упущенный спрос при отсутствии товара: +31 ед."
Поставщик 1,SKU001,Электротовар 1,Категория 1,400.0,400.0,критично,1.9,7,14,315.1,1.195,1.01,0.1,418.3,37.7,58.0,2025-02-03,0.0,398.0,280.2,0.0,0.0,0.0,10.0,500.0,200000.0,черновик — требует утверждения,"Покрытие 14 дн. (поставка 7 + пересмотр 7): прогноз модели 315 ед., годовая сезонность ×1.20, устойчивый тренд +4.3%/мес ×1.01, плановый прирост +10% → спрос 418 ед. Страховой запас 38 ед. (ошибка прогноза на валидации). Доступно 58 ед. (остаток 58 + в пути 0). Потребность 398 → заказ 400 ед. (кратность 10, мин. партия 0). Запаса хватит на 1.9 дн. при сроке поставки 7 дн."
Поставщик 1,SKU013,Электротовар 13,Категория 1,440.0,440.0,высокая,9.5,7,14,941.2,1.143,1.01,0.1,1195.2,53.3,815.0,2025-02-03,0.0,433.6,163.8,0.0,7.3,0.0,10.0,1460.0,642400.0,черновик — требует утверждения,"Покрытие 14 дн. (поставка 7 + пересмотр 7): прогноз модели 941 ед., годовая сезонность ×1.14, устойчивый тренд +4.3%/мес ×1.01, плановый прирост +10% → спрос 1195 ед. Страховой запас 53 ед. (ошибка прогноза на валидации). Доступно 815 ед. (остаток 815 + в пути 0). Потребность 434 → заказ 440 ед. (кратность 10, мин. партия 0). Запаса хватит на 9.5 дн. при сроке поставки 7 дн."
Поставщик 1,SKU017,Электротовар 17,Категория 2,0.0,0.0,не требуется,19.3,7,14,391.7,1.044,0.989,0.0,404.3,44.4,556.0,2025-02-03,0.0,-107.3,0.0,0.0,0.0,0.0,10.0,1780.0,0.0,черновик — требует утверждения,"Покрытие 14 дн. (поставка 7 + пересмотр 7): прогноз модели 392 ед., годовая сезонность ×1.04, устойчивый тренд -4.6%/мес ×0.99 → спрос 404 ед. Страховой запас 44 ед. (ошибка прогноза на валидации). Доступно 556 ед. (остаток 556 + в пути 0). Запаса достаточно, заказ не нужен."
Поставщик 1,SKU009,Электротовар 9,Категория 3,0.0,0.0,не требуется,34.2,7,14,421.2,1.097,0.999,-0.05,438.3,42.2,986.0,2025-02-03,84.0,-589.5,0.0,0.0,1.5,0.0,10.0,1140.0,0.0,черновик — требует утверждения,"Покрытие 14 дн. (поставка 7 + пересмотр 7): прогноз модели 421 ед., годовая сезонность ×1.10, устойчивый тренд -0.6%/мес ×1.00, плановый прирост -5% → спрос 438 ед. Страховой запас 42 ед. (ошибка прогноза на валидации). Доступно 1070 ед. (остаток 986 + в пути 84). Запаса достаточно, заказ не нужен."
Поставщик 2,SKU010,Электротовар 10,Категория 1,1783.0,1783.0,критично,1.0,14,21,1390.8,1.162,1.015,0.1,1804.4,67.6,0.0,нет в наличии на последнюю дату,90.0,1782.0,1000.6,182.2,0.0,50.0,1.0,1220.0,2175260.0,черновик — требует утверждения,"Покрытие 21 дн. (поставка 14 + пересмотр 7): прогноз модели 1391 ед., годовая сезонность ×1.16, устойчивый тренд +4.4%/мес ×1.01, плановый прирост +10% → спрос 1804 ед. Страховой запас 68 ед. (ошибка прогноза на валидации). Доступно 90 ед. (остаток 0 + в пути 90). Потребность 1782 → заказ 1783 ед. (кратность 1, мин. партия 50). Запаса хватит на 1.0 дн. при сроке поставки 14 дн. Учтён упущенный спрос при отсутствии товара: +182 ед."
Поставщик 2,SKU006,Электротовар 6,Категория 3,402.0,402.0,критично,5.2,14,21,472.6,1.047,1.0,-0.05,470.3,48.3,117.0,2025-02-03,0.0,401.5,417.3,0.0,3.0,50.0,1.0,900.0,361800.0,черновик — требует утверждения,"Покрытие 21 дн. (поставка 14 + пересмотр 7): прогноз модели 473 ед., годовая сезонность ×1.05, плановый прирост -5% → спрос 470 ед. Страховой запас 48 ед. (ошибка прогноза на валидации). Доступно 117 ед. (остаток 117 + в пути 0). Потребность 402 → заказ 402 ед. (кратность 1, мин. партия 50). Запаса хватит на 5.2 дн. при сроке поставки 14 дн."
Поставщик 2,SKU018,Электротовар 18,Категория 3,262.0,262.0,высокая,17.7,14,21,1198.5,1.14,1.0,-0.05,1298.0,57.1,956.0,2025-02-03,138.0,261.1,0.0,0.0,0.0,50.0,1.0,1860.0,487320.0,черновик — требует утверждения,"Покрытие 21 дн. (поставка 14 + пересмотр 7): прогноз модели 1198 ед., годовая сезонность ×1.14, плановый прирост -5% → спрос 1298 ед. Страховой запас 57 ед. (ошибка прогноза на валидации). Доступно 1094 ед. (остаток 956 + в пути 138). Потребность 261 → заказ 262 ед. (кратность 1, мин. партия 50). Запаса хватит на 17.7 дн. при сроке поставки 14 дн."
Поставщик 2,SKU002,Электротовар 2,Категория 2,50.0,50.0,высокая,20.0,14,21,170.3,0.996,0.983,0.0,166.8,20.4,159.0,2025-02-03,0.0,28.2,38.4,0.0,0.0,50.0,1.0,580.0,29000.0,черновик — требует утверждения,"Покрытие 21 дн. (поставка 14 + пересмотр 7): прогноз модели 170 ед., годовая сезонность ×1.00, устойчивый тренд -4.8%/мес ×0.98 → спрос 167 ед. Страховой запас 20 ед. (ошибка прогноза на валидации). Доступно 159 ед. (остаток 159 + в пути 0). Потребность 28 → заказ 50 ед. (кратность 1, мин. партия 50). Запаса хватит на 20.0 дн. при сроке поставки 14 дн."
Поставщик 2,SKU014,Электротовар 14,Категория 2,0.0,0.0,не требуется,47.3,14,21,465.4,1.143,0.984,0.0,523.4,32.9,1179.0,2025-02-03,0.0,-622.7,0.0,0.0,4.1,50.0,1.0,1540.0,0.0,черновик — требует утверждения,"Покрытие 21 дн. (поставка 14 + пересмотр 7): прогноз модели 465 ед., годовая сезонность ×1.14, устойчивый тренд -4.5%/мес ×0.98 → спрос 523 ед. Страховой запас 33 ед. (ошибка прогноза на валидации). Доступно 1179 ед. (остаток 1179 + в пути 0). Запаса достаточно, заказ не нужен."
