Поставщик;Артикул;Наименование;Категория;Рекомендуемое количество;Утверждённое количество;Срочность;Запас, дн.;Срок поставки, дн.;Спрос на период;Страховой запас;Остаток;В пути;Цена;Сумма;Обоснование;Статус
Поставщик 1;SKU005;Электротовар 5;Категория 2;230.0;230.0;критично;0.0;7;199.2;26.4;0.0;0.0;820.0;188600.0;Покрытие 14 дн. (поставка 7 + пересмотр 7): прогноз модели 180 ед., годовая сезонность ×1.12, устойчивый тренд -3.2%/мес ×0.99 → спрос 199 ед. Страховой запас 26 ед. (ошибка прогноза на валидации). Доступно 0 ед. (остаток 0 + в пути 0). Потребность 226 → заказ 230 ед. (кратность 10, мин. партия 0). Запаса хватит на 0.0 дн. при сроке поставки 7 дн. Учтён упущенный спрос при отсутствии товара: +31 ед.;черновик — требует утверждения
Поставщик 1;SKU001;Электротовар 1;Категория 1;400.0;400.0;критично;1.9;7;418.3;37.7;58.0;0.0;500.0;200000.0;Покрытие 14 дн. (поставка 7 + пересмотр 7): прогноз модели 315 ед., годовая сезонность ×1.20, устойчивый тренд +4.3%/мес ×1.01, плановый прирост +10% → спрос 418 ед. Страховой запас 38 ед. (ошибка прогноза на валидации). Доступно 58 ед. (остаток 58 + в пути 0). Потребность 398 → заказ 400 ед. (кратность 10, мин. партия 0). Запаса хватит на 1.9 дн. при сроке поставки 7 дн.;черновик — требует утверждения
Поставщик 1;SKU013;Электротовар 13;Категория 1;440.0;440.0;высокая;9.5;7;1195.2;53.3;815.0;0.0;1460.0;642400.0;Покрытие 14 дн. (поставка 7 + пересмотр 7): прогноз модели 941 ед., годовая сезонность ×1.14, устойчивый тренд +4.3%/мес ×1.01, плановый прирост +10% → спрос 1195 ед. Страховой запас 53 ед. (ошибка прогноза на валидации). Доступно 815 ед. (остаток 815 + в пути 0). Потребность 434 → заказ 440 ед. (кратность 10, мин. партия 0). Запаса хватит на 9.5 дн. при сроке поставки 7 дн.;черновик — требует утверждения
Поставщик 2;SKU010;Электротовар 10;Категория 1;1783.0;1783.0;критично;1.0;14;1804.4;67.6;0.0;90.0;1220.0;2175260.0;Покрытие 21 дн. (поставка 14 + пересмотр 7): прогноз модели 1391 ед., годовая сезонность ×1.16, устойчивый тренд +4.4%/мес ×1.01, плановый прирост +10% → спрос 1804 ед. Страховой запас 68 ед. (ошибка прогноза на валидации). Доступно 90 ед. (остаток 0 + в пути 90). Потребность 1782 → заказ 1783 ед. (кратность 1, мин. партия 50). Запаса хватит на 1.0 дн. при сроке поставки 14 дн. Учтён упущенный спрос при отсутствии товара: +182 ед.;черновик — требует утверждения
Поставщик 2;SKU006;Электротовар 6;Категория 3;402.0;402.0;критично;5.2;14;470.3;48.3;117.0;0.0;900.0;361800.0;Покрытие 21 дн. (поставка 14 + пересмотр 7): прогноз модели 473 ед., годовая сезонность ×1.05, плановый прирост -5% → спрос 470 ед. Страховой запас 48 ед. (ошибка прогноза на валидации). Доступно 117 ед. (остаток 117 + в пути 0). Потребность 402 → заказ 402 ед. (кратность 1, мин. партия 50). Запаса хватит на 5.2 дн. при сроке поставки 14 дн.;черновик — требует утверждения
Поставщик 2;SKU018;Электротовар 18;Категория 3;262.0;262.0;высокая;17.7;14;1298.0;57.1;956.0;138.0;1860.0;487320.0;Покрытие 21 дн. (поставка 14 + пересмотр 7): прогноз модели 1198 ед., годовая сезонность ×1.14, плановый прирост -5% → спрос 1298 ед. Страховой запас 57 ед. (ошибка прогноза на валидации). Доступно 1094 ед. (остаток 956 + в пути 138). Потребность 261 → заказ 262 ед. (кратность 1, мин. партия 50). Запаса хватит на 17.7 дн. при сроке поставки 14 дн.;черновик — требует утверждения
Поставщик 2;SKU002;Электротовар 2;Категория 2;50.0;50.0;высокая;20.0;14;166.8;20.4;159.0;0.0;580.0;29000.0;Покрытие 21 дн. (поставка 14 + пересмотр 7): прогноз модели 170 ед., годовая сезонность ×1.00, устойчивый тренд -4.8%/мес ×0.98 → спрос 167 ед. Страховой запас 20 ед. (ошибка прогноза на валидации). Доступно 159 ед. (остаток 159 + в пути 0). Потребность 28 → заказ 50 ед. (кратность 1, мин. партия 50). Запаса хватит на 20.0 дн. при сроке поставки 14 дн.;черновик — требует утверждения
Поставщик 3;SKU007;Электротовар 7;Категория 1;1480.0;1480.0;критично;4.8;21;1694.6;67.7;291.0;0.0;980.0;1450400.0;Покрытие 28 дн. (поставка 21 + пересмотр 7): прогноз модели 1303 ед., годовая сезонность ×1.16, устойчивый тренд +4.1%/мес ×1.02, плановый прирост +10% → спрос 1695 ед. Страховой запас 68 ед. (ошибка прогноза на валидации). Доступно 291 ед. (остаток 291 + в пути 0). Потребность 1471 → заказ 1480 ед. (кратность 10, мин. партия 100). Запаса хватит на 4.8 дн. при сроке поставки 21 дн.;черновик — требует утверждения
Поставщик 3;SKU011;Электротовар 11;Категория 2;540.0;540.0;критично;6.0;21;609.7;51.7;131.0;0.0;1300.0;702000.0;Покрытие 28 дн. (поставка 21 + пересмотр 7): прогноз модели 560 ед., годовая сезонность ×1.11, устойчивый тренд -4.3%/мес ×0.98 → спрос 610 ед. Страховой запас 52 ед. (ошибка прогноза на валидации). Доступно 131 ед. (остаток 131 + в пути 0). Потребность 530 → заказ 540 ед. (кратность 10, мин. партия 100). Запаса хватит на 6.0 дн. при сроке поставки 21 дн.;черновик — требует утверждения
Поставщик 3;SKU019;Электротовар 19;Категория 1;1460.0;1460.0;критично;16.8;21;3290.9;133.8;1829.0;144.0;1940.0;2832400.0;Покрытие 28 дн. (поставка 21 + пересмотр 7): прогноз модели 2485 ед., годовая сезонность ×1.18, устойчивый тренд +4.4%/мес ×1.02, плановый прирост +10% → спрос 3291 ед. Страховой запас 134 ед. (ошибка прогноза на валидации). Доступно 1973 ед. (остаток 1829 + в пути 144). Потребность 1452 → заказ 1460 ед. (кратность 10, мин. партия 100). Запаса хватит на 16.8 дн. при сроке поставки 21 дн.;черновик — требует утверждения
