sku,product_name,forecast_demand,forecast_horizon_days,growth_rate,trend_direction,seasonality_detected,seasonality_strength,estimated_lost_demand,outliers_detected,large_client_orders_detected,model_used,baseline_mae,model_mae,forecast_confidence,forecast_as_of,supplier,category,lead_time_days,stock,in_transit,price,forecast_reason
SKU001,Электротовар 1,690.4373247849434,30,0.12811387900355853,increasing,True,0.4766136628963079,182.0,7,1,random_forest,5.605397173114366,4.889456186607358,medium,2025-02-03,Поставщик 1,Категория 1,7.0,58.0,0.0,500.0,"Прогноз спроса на 30 дн.: 690.4 ед. Спрос за последние 30 дн. изменился на +12.8% к предыдущему периоду. Оценка упущенного спроса за историю: 182.0 ед. Ограничено разовых крупных заказов: 1, дневных выбросов: 7. Метод: random_forest. Уверенность — эвристика, не доверительный интервал."
SKU002,Электротовар 2,246.09708396880902,30,0.1461187214611872,increasing,True,0.35331218673874865,145.0,1,1,random_forest,2.4432396573827524,2.1620442377067377,medium,2025-02-03,Поставщик 2,Категория 2,14.0,159.0,0.0,580.0,"Прогноз спроса на 30 дн.: 246.1 ед. Спрос за последние 30 дн. изменился на +14.6% к предыдущему периоду. Оценка упущенного спроса за историю: 145.0 ед. Ограничено разовых крупных заказов: 1, дневных выбросов: 1. Метод: random_forest. Уверенность — эвристика, не доверительный интервал."
SKU003,Электротовар 3,495.5559531949562,30,0.04958677685950419,stable,True,0.4909119454472435,209.0,6,2,random_forest,4.880987167873467,4.037023734194895,medium,2025-02-03,Поставщик 3,Категория 3,21.0,326.0,0.0,660.0,"Прогноз спроса на 30 дн.: 495.6 ед. Спрос за последние 30 дн. изменился на +5.0% к предыдущему периоду. Оценка упущенного спроса за историю: 209.0 ед. Ограничено разовых крупных заказов: 2, дневных выбросов: 6. Метод: random_forest. Уверенность — эвристика, не доверительный интервал."
SKU004,Электротовар 4,1030.6808514384413,30,0.2805369127516779,increasing,True,0.5755349103921442,298.0,1,1,random_forest,7.213560464370316,5.24198219084359,medium,2025-02-03,Поставщик 4,Категория 1,28.0,659.0,0.0,740.0,"Прогноз спроса на 30 дн.: 1030.7 ед. Спрос за последние 30 дн. изменился на +28.1% к предыдущему периоду. Оценка упущенного спроса за историю: 298.0 ед. Ограничено разовых крупных заказов: 1, дневных выбросов: 1. Метод: random_forest. Уверенность — эвристика, не доверительный интервал."
SKU005,Электротовар 5,383.69637003412686,30,0.32224770642201817,increasing,True,0.5652055971953158,264.0,8,1,baseline_7d,3.418473207990762,3.462057089309521,medium,2025-02-03,Поставщик 1,Категория 2,7.0,0.0,0.0,820.0,"Прогноз спроса на 30 дн.: 383.7 ед. Спрос за последние 30 дн. изменился на +32.2% к предыдущему периоду. Оценка упущенного спроса за историю: 264.0 ед. Ограничено разовых крупных заказов: 1, дневных выбросов: 8. Метод: baseline_7d. Уверенность — эвристика, не доверительный интервал."
SKU006,Электротовар 6,687.735568873359,30,0.15699658703071662,increasing,True,0.5495668222293552,298.0,4,1,random_forest,6.237372164167598,5.105990300526365,medium,2025-02-03,Поставщик 2,Категория 3,14.0,117.0,0.0,900.0,"Прогноз спроса на 30 дн.: 687.7 ед. Спрос за последние 30 дн. изменился на +15.7% к предыдущему периоду. Оценка упущенного спроса за историю: 298.0 ед. Ограничено разовых крупных заказов: 1, дневных выбросов: 4. Метод: random_forest. Уверенность — эвристика, не доверительный интервал."
SKU007,Электротовар 7,1427.1858935769003,30,0.23224338244101084,increasing,True,0.6533212672493325,409.0,7,1,random_forest,9.69635516588451,6.2044360519299255,medium,2025-02-03,Поставщик 3,Категория 1,21.0,291.0,0.0,980.0,"Прогноз спроса на 30 дн.: 1427.2 ед. Спрос за последние 30 дн. изменился на +23.2% к предыдущему периоду. Оценка упущенного спроса за историю: 409.0 ед. Ограничено разовых крупных заказов: 1, дневных выбросов: 7. Метод: random_forest. Уверенность — эвристика, не доверительный интервал."
SKU008,Электротовар 8,503.346740041014,30,0.006849315068493178,stable,True,0.5720251910407714,251.5,2,1,random_forest,3.835316182097398,3.1084407885013783,medium,2025-02-03,Поставщик 4,Категория 2,28.0,581.0,78.0,1060.0,"Прогноз спроса на 30 дн.: 503.3 ед. Спрос за последние 30 дн. изменился на +0.7% к предыдущему периоду. Оценка упущенного спроса за историю: 251.5 ед. Ограничено разовых крупных заказов: 1, дневных выбросов: 2. Метод: random_forest. Уверенность — эвристика, не доверительный интервал."
SKU009,Электротовар 9,927.2314422192533,30,0.0970996216897857,stable,True,0.6062245752062767,324.5,6,1,random_forest,6.390328058941973,5.469287363565591,medium,2025-02-03,Поставщик 1,Категория 3,7.0,986.0,84.0,1140.0,"Прогноз спроса на 30 дн.: 927.2 ед. Спрос за последние 30 дн. изменился на +9.7% к предыдущему периоду. Оценка упущенного спроса за историю: 324.5 ед. Ограничено разовых крупных заказов: 1, дневных выбросов: 6. Метод: random_forest. Уверенность — эвристика, не доверительный интервал."
SKU010,Электротовар 10,2040.5659320810528,30,0.2319000367511943,increasing,True,0.6716737527888229,649.0,1,1,random_forest,13.91197488380736,7.154033934360523,medium,2025-02-03,Поставщик 2,Категория 1,14.0,1757.0,90.0,1220.0,"Прогноз спроса на 30 дн.: 2040.6 ед. Спрос за последние 30 дн. изменился на +23.2% к предыдущему периоду. Оценка упущенного спроса за историю: 649.0 ед. Ограничено разовых крупных заказов: 1, дневных выбросов: 1. Метод: random_forest. Уверенность — эвристика, не доверительный интервал."
